rep,solution,nozzle,altura,indice
3,"2,4D Colina",XR,10,0.00957
3,"2,4D Colina",XR,20,0.00589
3,"2,4D Colina",XR,30,0.00202
3,"2,4D Colina",XR,40,0.00055
3,"2,4D Colina",XR,50,0.0004
3,Dicamba,AI,10,0.00678
3,Dicamba,AI,20,0.00488
3,Dicamba,AI,30,0.00243
3,Dicamba,AI,40,0.0008
3,Dicamba,AI,50,0.00037
3,Dicamba,TTI,10,0.00384
3,Dicamba,TTI,20,0.00279
3,Dicamba,TTI,30,0.0016
3,Dicamba,TTI,40,0.00072
3,Dicamba,TTI,50,0.00049
3,Dicamba,XR,10,0.01661
3,Dicamba,XR,20,0.01006
3,Dicamba,XR,30,0.00315
3,Dicamba,XR,40,0.00063
3,Dicamba,XR,50,0.00031
3,"2,4D Amina",AI,10,0.00564
3,"2,4D Amina",AI,20,0.00352
3,"2,4D Amina",AI,30,0.00125
3,"2,4D Amina",AI,40,0.00025
3,"2,4D Amina",AI,50,0.00014
3,"2,4D Amina",TTI,10,0.00511
3,"2,4D Amina",TTI,20,0.00375
3,"2,4D Amina",TTI,30,0.00189
3,"2,4D Amina",TTI,40,0.00056
3,"2,4D Amina",TTI,50,0.00033
3,"2,4D Amina",XR,10,0.04979
3,"2,4D Amina",XR,20,0.04469
3,"2,4D Amina",XR,30,0.02536
3,"2,4D Amina",XR,40,0.00806
3,"2,4D Amina",XR,50,0.00147
