#,Treatment,Repetition,Pressure,Nozzle,Dv 10 ,Dv 50 ,Dv 90,Span, % < 100 um, % < 150 um
2,"Atectra + FluiFlex 0,1%",A,5,ULD025,"         123,7",               251,"                496,5","                    1,5","                        4,5","                      17,7"
2,"Atectra + FluiFlex 0,1%",B,5,ULD025,"         123,0",               250,"                488,8","                    1,5","                        4,9","                      17,9"
2,"Atectra + FluiFlex 0,1%",C,5,ULD025,"         121,8",               251,"                498,4","                    1,5","                        5,2","                      18,2"
2,"Atectra + FluiFlex 0,1%",D,5,ULD025,"         120,8",               249,"                495,3","                    1,5","                        5,3","                      18,6"
3,"Atectra + Mees 0,1%",A,3,ULDMax025,"         372,9",               814,"            1.517,0","                    1,4","                        0,6","                        2,0"
3,"Atectra + Mees 0,1%",B,3,ULDMax025,"         358,7",               837,"            1.577,0","                    1,5","                        0,6","                        2,3"
3,"Atectra + Mees 0,1%",C,3,ULDMax025,"         364,1",               792,"            1.470,0","                    1,4","                        0,5","                        2,0"
3,"Atectra + Mees 0,1%",D,3,ULDMax025,"         357,9",               846,"            1.618,0","                    1,5","                        0,5","                        2,1"
3,"Atectra + Mees 0,1%",A,5,ULDMax025,"         255,7",               600,"            1.099,0","                    1,4","                        1,4","                        4,1"
3,"Atectra + Mees 0,1%",B,5,ULDMax025,"         256,1",               618,"            1.156,0","                    1,5","                        1,3","                        4,0"
3,"Atectra + Mees 0,1%",C,5,ULDMax025,"         244,7",               611,"            1.183,0","                    1,5","                        1,1","                        3,9"
3,"Atectra + Mees 0,1%",D,5,ULDMax025,"         267,5",               623,"            1.142,0","                    1,4","                        1,4","                        4,0"
3,"Atectra + Mees 0,1%",A,3,TTI025,"         239,1",               606,"            1.207,0","                    1,6","                        0,8","                        3,5"
3,"Atectra + Mees 0,1%",B,3,TTI025,"         236,5",               594,"            1.164,0","                    1,6","                        0,9","                        3,7"
3,"Atectra + Mees 0,1%",C,3,TTI025,"         248,1",               629,"            1.237,0","                    1,6","                        0,8","                        3,4"
3,"Atectra + Mees 0,1%",D,3,TTI025,"         245,1",               605,"            1.140,0","                    1,5","                        0,7","                        3,4"
3,"Atectra + Mees 0,1%",A,5,TTI025,"         194,2",               492,"                983,5","                    1,6","                        1,3","                        5,2"
3,"Atectra + Mees 0,1%",B,5,TTI025,"         195,7",               476,"                914,4","                    1,5","                        1,3","                        5,1"
3,"Atectra + Mees 0,1%",C,5,TTI025,"         193,5",               480,"                921,0","                    1,5","                        1,3","                        5,4"
3,"Atectra + Mees 0,1%",D,5,TTI025,"         192,1",               475,"                918,3","                    1,5","                        1,3","                        5,3"
3,"Atectra + Mees 0,1%",A,3,ULD025,"         162,6",               377,"                742,2","                    1,5","                        2,0","                        8,0"
3,"Atectra + Mees 0,1%",B,3,ULD025,"         150,3",               337,"                682,6","                    1,6","                        2,6","                      10,0"
3,"Atectra + Mees 0,1%",C,3,ULD025,"         151,0",               329,"                641,5","                    1,5","                        2,4","                        9,8"
3,"Atectra + Mees 0,1%",D,3,ULD025,"         149,6",               332,"                658,9","                    1,5","                        2,4","                      10,1"
3,"Atectra + Mees 0,1%",A,5,ULD025,"         124,3",               251,"                496,2","                    1,5","                        4,5","                      17,7"
3,"Atectra + Mees 0,1%",B,5,ULD025,"         122,6",               249,"                493,8","                    1,5","                        4,8","                      18,2"
3,"Atectra + Mees 0,1%",C,5,ULD025,"         123,7",               249,"                495,3","                    1,5","                        4,5","                      18,0"
3,"Atectra + Mees 0,1%",D,5,ULD025,"         126,3",               252,"                490,7","                    1,4","                        4,2","                      17,1"
3,"Atectra + Mees 0,1%",E,5,ULD025,"         124,6",               258,"                532,6","                    1,6","                        4,4","                      17,4"
4,"Engenia + FluiFlex 0,1%",A,3,ULDMax025,"         368,5",               894,"            1.679,0","                    1,5","                        0,4","                        1,6"
4,"Engenia + FluiFlex 0,1%",B,3,ULDMax025,"         333,1",               805,"            1.570,0","                    1,5","                        0,7","                        2,5"
4,"Engenia + FluiFlex 0,1%",C,3,ULDMax025,"         355,2",               851,"            1.594,0","                    1,5","                        0,4","                        2,0"
4,"Engenia + FluiFlex 0,1%",D,3,ULDMax025,"         334,0",               800,"            1.506,0","                    1,5","                        0,4","                        2,0"
4,"Engenia + FluiFlex 0,1%",A,5,ULDMax025,"         250,7",               596,"            1.110,0","                    1,4","                        0,9","                        3,4"
4,"Engenia + FluiFlex 0,1%",B,5,ULDMax025,"         245,9",               606,"            1.160,0","                    1,5","                        1,1","                        3,6"
4,"Engenia + FluiFlex 0,1%",C,5,ULDMax025,"         249,0",               598,"            1.126,0","                    1,5","                        1,2","                        3,9"
4,"Engenia + FluiFlex 0,1%",D,5,ULDMax025,"         247,6",               607,"            1.154,0","                    1,5","                        1,1","                        3,8"
4,"Engenia + FluiFlex 0,1%",E,5,ULDMax025,"         243,0",               592,"            1.075,0","                    1,4","                        1,2","                        4,1"
4,"Engenia + FluiFlex 0,1%",A,3,TTI025,"         298,0",               803,"            1.550,0","                    1,6","                        0,6","                        2,4"
4,"Engenia + FluiFlex 0,1%",B,3,TTI025,"         291,5",               773,"            1.520,0","                    1,6","                        0,7","                        2,9"
